arxiv_name,top1_acc,link
2406.16453v2.pdf,NA,
2406.16540v3.pdf,NA,
2406.17117v2.pdf,NA,
2406.15982v1.pdf,NA,
2406.12368v2.pdf,NA,
2406.11837v1.pdf,75.7,
2406.11309v2.pdf,72.15,
2406.10322v2.pdf,69.5,
2406.10427v2.pdf,NA,
2406.09250v2.pdf,67.4,
2406.09112v1.pdf,NA,
2406.08773v4.pdf,82.13,
2406.12915v5.pdf,NA,
2406.08443v1.pdf,NA,
2406.05612v2.pdf,NA,
2406.05068v1.pdf,NA,
2406.04330v2.pdf,85.9,
2406.03146v1.pdf,NA,
2406.02395v1.pdf,NA,
2405.21022v1.pdf,NA,
2405.20763v4.pdf,79.1,
2405.18415v2.pdf,79.2,
2405.18144v3.pdf,77.07,
2405.18240v1.pdf,85.66,
2405.16134v2.pdf,NA,
2405.15661v2.pdf,NA,
2405.15668v4.pdf,73.4,
2405.14480v2.pdf,82.7,
2405.17461v2.pdf,77.42,
2405.13268v2.pdf,NA,
2405.11551v1.pdf,NA,
2405.11582v2.pdf,83.6,
2405.11067v3.pdf,NA,
2405.10004v2.pdf,NA,
2405.09514v1.pdf,NA,
2405.09014v1.pdf,NA,
2405.07992v3.pdf,84.7,
2405.07411v1.pdf,NA,
2405.07194v1.pdf,81.1,
2405.06814v3.pdf,NA,
2405.05742v1.pdf,NA,
2405.04825v2.pdf,NA,
2405.01175v1.pdf,NA,
2404.16331v2.pdf,NA,
2404.16030v1.pdf,NA,
2404.15704v1.pdf,NA,
2404.14109v1.pdf,NA,
2404.11249v1.pdf,NA,
2404.11202v2.pdf,79.1,
2404.11003v3.pdf,NA,
2404.10518v2.pdf,87,
2404.10864v1.pdf,NA,
2404.09828v2.pdf,NA,
2404.08981v2.pdf,NA,
2404.07410v2.pdf,NA,
2404.07507v1.pdf,NA,
2404.08010v2.pdf,NA,
2404.06287v2.pdf,NA,
2404.06549v2.pdf,NA,
2404.05207v1.pdf,NA,
2404.04072v1.pdf,84.8,
2404.04245v1.pdf,NA,
2404.03323v1.pdf,NA,
2404.01775v1.pdf,NA,
2404.02233v2.pdf,NA,
2404.02112v1.pdf,NA,
2404.01964v2.pdf,NA,
2404.02282v3.pdf,NA,
2404.01509v1.pdf,NA,
2404.00974v1.pdf,84.1,
2404.00928v1.pdf,NA,
2403.19888v4.pdf,84,
2403.19067v1.pdf,NA,
2403.19588v2.pdf,NA,
2403.19579v1.pdf,NA,
2403.18294v1.pdf,NA,
2403.17726v4.pdf,NA,
2403.17695v2.pdf,NA,
2403.17921v1.pdf,NA,
2403.17173v2.pdf,NA,
2403.13293v1.pdf,NA,
2403.13797v3.pdf,NA,
2403.13430v2.pdf,NA,
2403.13171v2.pdf,NA,
2403.12688v1.pdf,NA,
